SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","9/2/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","138.054041","18.913413"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","9/3/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","4.129032","0.565680"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","9/4/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","7.142364","0.978508"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","9/5/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","8.258064","1.131360"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","9/6/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","8.258064","1.131360"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","9/7/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","8.258064","1.131360"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","9/8/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","8.258064","1.131360"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","9/9/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","8.258064","1.131360"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","9/10/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","8.258064","1.131360"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","9/11/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","8.258064","1.131360"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","9/12/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","8.258064","1.131360"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","9/13/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","8.258064","1.131360"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","9/14/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","8.258064","1.131360"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","9/15/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","8.258064","1.131360"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","9/16/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","8.258064","1.131360"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","9/17/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","16.857274","2.309457"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","9/18/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","20.64516","2.828400"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","9/19/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","18.102538","2.480059"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","9/20/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","10.954252","1.500739"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","4/13/2023","ac8ac524-bff4-564d-a586-00497e1cb6e9","Azure Database for PostgreSQL","Flexible Server General Purpose Dv4 Series Compute","EU West","vCore","4","0.424000"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","4/30/2023","6fd60a85-00b9-5645-97d8-0282bcf2f617","Azure Grafana Service","Azure Managed Grafana","EU West","Standard User","0.409897","2.459383"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","5/31/2023","6fd60a85-00b9-5645-97d8-0282bcf2f617","Azure Grafana Service","Azure Managed Grafana","EU West","Standard User","0","0.000000"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","6/30/2023","6fd60a85-00b9-5645-97d8-0282bcf2f617","Azure Grafana Service","Azure Managed Grafana","EU West","Standard User","0","0.000000"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","7/31/2023","6fd60a85-00b9-5645-97d8-0282bcf2f617","Azure Grafana Service","Azure Managed Grafana","EU West","Standard User","0","0.000000"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","8/31/2023","6fd60a85-00b9-5645-97d8-0282bcf2f617","Azure Grafana Service","Azure Managed Grafana","EU West","Standard User","0","0.000000"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","9/6/2023","6fd60a85-00b9-5645-97d8-0282bcf2f617","Azure Grafana Service","Azure Managed Grafana","EU West","Standard User","0","0.000000"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","6/13/2023","6b734d4a-db2c-5695-ba0b-04d4f26c0daa","Virtual Machines","Eadsv5 Series","EU West","E16ads v5","5","6.320000"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","6/14/2023","6b734d4a-db2c-5695-ba0b-04d4f26c0daa","Virtual Machines","Eadsv5 Series","EU West","E16ads v5","12.850017","16.242421"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","7/3/2023","8368dfbe-9661-5eb0-b347-050fc9835411","Azure Cosmos DB","All","US West","Data Stored","0.001367","0.000000"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","9/25/2023","54bf520a-0d68-517b-9e12-062cc26edd35","Virtual Machines","Basv2 Series","EU West","B16as v2","21.100062","14.580144"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","9/26/2023","54bf520a-0d68-517b-9e12-062cc26edd35","Virtual Machines","Basv2 Series","EU West","B16as v2","48","33.168000"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","9/27/2023","54bf520a-0d68-517b-9e12-062cc26edd35","Virtual Machines","Basv2 Series","EU West","B16as v2","48","33.168000"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","9/28/2023","54bf520a-0d68-517b-9e12-062cc26edd35","Virtual Machines","Basv2 Series","EU West","B16as v2","48","33.168000"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","9/29/2023","54bf520a-0d68-517b-9e12-062cc26edd35","Virtual Machines","Basv2 Series","EU West","B16as v2","48","33.168000"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","9/30/2023","54bf520a-0d68-517b-9e12-062cc26edd35","Virtual Machines","Basv2 Series","EU West","B16as v2","48","33.168000"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","10/1/2023","54bf520a-0d68-517b-9e12-062cc26edd35","Virtual Machines","Basv2 Series","EU West","B16as v2","48","33.168000"
